Designator,Mid X,Mid Y,Rotation,Layer
BT1,63.3418,-172.72,0.0,top
BZ1,42.545,-151.13,180.0,top
C1,37.465,-140.97,270.0,top
C10,81.28,-146.05,180.0,top
C11,81.28,-142.875,180.0,top
C12,86.36,-139.7,180.0,top
C13,34.979026,-151.464715,0.0,top
C14,86.36,-133.35,180.0,top
C15,33.02,-177.185,0.0,top
C16,81.332808,-152.75936,180.0,top
C17,34.907399,-145.161553,0.0,top
C18,81.329423,-154.94,180.0,top
C19,34.979026,-149.371619,0.0,top
C2,34.931275,-147.24669,0.0,top
C20,32.385,-184.15,0.0,top
C3,78.74,-124.46,270.0,top
C4,86.995,-124.46,90.0,top
C5,81.28,-136.527437,180.0,top
C6,86.36,-136.515,180.0,top
C7,86.36,-142.875,180.0,top
C8,86.36,-146.05,180.0,top
C9,81.28,-139.7,180.0,top
D1,90.805,-127.0,180.0,top
D2,90.82,-122.555,0.0,top
D3,29.845,-133.14,90.0,top
D4,26.035,-129.115,270.0,top
D5,26.035,-133.14,90.0,top
D6,29.845,-129.115,270.0,top
FPC1,96.4012,-138.9987,270.0,top
J1,95.004,-168.7275,90.0,bottom
J10,23.495,-154.305,270.0,top
J2,28.186,-168.7275,270.0,bottom
J3,36.83,-114.546,180.0,bottom
J4,86.995,-114.546,180.0,bottom
J5,102.87,-162.56,90.0,top
J6,102.87,-154.305,90.0,top
J7,61.405,-194.945,90.0,top
J8,50.165,-193.04,0.0,top
J9,57.15,-191.04,0.0,top
L1,82.8975,-124.46,270.0,top
LED1,62.0646,-180.34,270.0,bottom
Q1,42.545,-135.255,0.0,top
Q2,36.83,-127.3175,270.0,top
Q3,43.18,-126.97,90.0,top
Q4,43.18,-120.3175,90.0,top
Q5,97.4875,-124.775,180.0,top
R1,42.545,-140.97,270.0,top
R10,62.23,-189.865,270.0,top
R11,64.77,-189.865,270.0,top
R2,27.575,-121.285,0.0,top
R3,27.5667,-118.9915,0.0,top
R4,36.83,-123.825,180.0,top
R5,67.31,-189.865,90.0,top
R6,43.18,-123.4925,180.0,top
R7,97.572246,-127.682956,0.0,top
R8,97.79,-121.92,0.0,top
R9,43.18,-130.16,0.0,top
S1_A1,74.1976,-164.542,0.0,bottom
S2_B1,62.23,-164.465,0.0,bottom
S3_C1,50.1526,-164.465,0.0,bottom
S4_UP1,20.32,-130.9813,270.0,bottom
S5_DWN1,20.32,-146.05,270.0,bottom
S6_RST1,76.835,-189.865,90.0,top
SW_BRD_PWR1,16.51,-140.97,270.0,top
SW_SAO_PWR1,18.415,-127.0,270.0,top
U1,36.83,-135.255,180.0,top
U2,61.595,-131.445,0.0,top
U3,25.4,-139.7,0.0,top
U4,86.995,-152.315,0.0,top
U5,31.115,-139.7,0.0,top
Y1,40.005,-140.97,270.0,top
